country,avg_duration,avg_m_duration,avg_f_duration
ETH,139.03333333333333,130.36666666666667,145.53333333333333
KEN,141.58888888888887,137.83333333333334,146.28333333333333
USA,227.30287477148082,216.7911549451831,238.80459577590608
UKR,133.03333333333333,133.03333333333333,0
RSA,240.24935897435898,238.82878787878786,248.0625
ITA,228.9904301075269,225.2741469816273,245.84642857142856
RUS,211.18333333333334,211.51282051282053,209.04166666666669
JPN,245.05894607843138,244.78602693602693,245.7891891891892
CAN,216.76166743577912,207.0882100750268,229.79934994582882
BEL,223.4439814814815,219.92916666666667,251.5625
NZL,221.87826086956522,215.85111111111112,233.17916666666667
BLR,149.03333333333333,0,149.03333333333333
AUS,219.6655303030303,215.26215686274512,227.62907801418442
GBR,215.11862396204035,204.12350674373798,232.73117283950617
CRO,180.70555555555555,193.54166666666669,155.03333333333333
ECU,194.38055555555556,194.38055555555556,0
GER,237.40435606060606,232.2882850241546,255.98377192982457
ESP,223.33474178403756,220.1268656716418,277.06666666666666
SWE,216.20680751173708,212.16397849462365,244.05740740740742
BRA,218.56765676567656,215.85214285714287,224.69946236559142
HKG,219.162100456621,209.64583333333334,242.72619047619048
MEX,215.38492063492063,208.70506756756757,227.29598393574298
DEN,226.80884353741496,221.91342592592594,240.3653846153846
MAS,226.55416666666667,226.55416666666667,0
IRL,221.52088607594936,211.29074074074074,243.618
ISL,209.71666666666667,209.71666666666667,0
CHI,205.15173611111112,201.86666666666667,219.38703703703703
GUA,217.7891304347826,195.04375,229.92000000000002
FIN,204.57222222222222,203.71481481481482,209.71666666666667
SVK,227.30416666666667,217.62261904761905,295.075
COL,209.0845029239766,205.50471014492754,224.05454545454546
SUI,220.8038888888889,216.01378205128205,251.93958333333333
CHN,238.8425641025641,240.23866666666666,234.1888888888889
AUT,226.67460317460316,217.3188888888889,250.0638888888889
NED,212.657805907173,212.84758454106282,211.34833333333336
FRA,235.40313531353135,231.36507936507937,255.35588235294117
CRC,204.76507936507937,199.8488888888889,217.05555555555557
CYP,170.03333333333333,170.03333333333333,0
POL,209.71574074074076,203.6904761904762,230.80416666666667
NOR,203.37252252252253,195.6529761904762,227.38888888888889
KOR,250.61799242424243,245.73092105263157,281.56944444444446
POR,224.05238095238096,225.55277777777778,215.05
TPE,223.43333333333334,218.46372549019608,244.55416666666667
PER,215.28076923076924,208.67291666666668,225.85333333333335
SIN,216.47564102564104,210.15083333333334,237.55833333333334
PAN,189.61666666666667,189.7111111111111,189.05
VEN,211.26309523809525,195.7111111111111,239.25666666666666
LUX,176.03333333333333,176.03333333333333,0
CZE,212.05,212.05,0
VIE,178.03333333333333,178.03333333333333,0
MAR,207.54166666666669,207.54166666666669,0
BER,231.72222222222223,224.25333333333333,246.66
ROU,198.38333333333335,198.38333333333335,0
IND,209.55208333333334,195.45000000000002,233.05555555555557
LIE,181.05,181.05,0
ARG,211.2872549019608,212.62380952380954,205.05
ESA,192.38333333333335,188.05,201.05
DOM,220.80416666666667,190.05,231.05555555555557
ISR,224.48333333333335,222.74615384615385,247.06666666666666
GRE,218.72222222222223,218.72222222222223,0
SLO,207.05,204.05,213.05
LTU,199.55,199.55,0
URU,196.05,196.05,0
CAY,204.8,205.38333333333335,203.05
EST,221.55833333333334,245.06666666666666,198.05
JAM,199.05,199.05,0
UAE,205.55,205.55,0
VGB,202.05,0,202.05
TUR,215.05,215.05,0
LAT,205.05,205.05,0
AND,215.05,215.05,0
OMA,232.05,0,232.05
BAH,262.05833333333334,262.05833333333334,0
TRI,264.06111111111113,237.05,277.56666666666666
INA,283.73333333333335,283.73333333333335,0
AHO,266.06666666666666,266.06666666666666,0
PHI,288.575,276.06666666666666,301.0833333333333
UGA,305.0833333333333,0,305.0833333333333
QAT,337.0833333333333,337.0833333333333,0
